# Compact pinyin (no spaces) → display phrase. Overlays the simp lexicon so the
# reasoning composer can prefer real compounds Rime knows but pinyin_simp lacks.
# weight is relative; keep well above common single-character frequencies.
mofabang	魔法棒	12000
woxiangyong	我想用	15000
woxiang	我想	12000
xiangyong	想用	6000
shubiao	鼠标	8000
jianpan	键盘	8000
houxuan	候选	9000
paixu	排序	9000
zhongguo	中国	15000
shiqing	事情	12000
xihuan	喜欢	10000
pengyou	朋友	10000
diannao	电脑	9000
shouji	手机	9000
wangluo	网络	8000
chengxu	程序	9000
daima	代码	9000
huanjing	环境	8000
gongneng	功能	8000
shezhi	设置	8000
wenjian	文件	8000
lujing	路径	7000
chuangkou	窗口	7000
yulan	预览	6000
fuzhi	复制	7000
niantie	粘贴	7000
jiantie	剪贴	5000
queren	确认	7000
quxiao	取消	7000
baocun	保存	8000
daoru	导入	6000
daochu	导出	6000
sousuo	搜索	7000
shuru	输入	8000
shurufa	输入法	10000
pinyin	拼音	8000
yingwen	英文	7000
zhongwen	中文	8000
yuyan	语言	7000
moxing	模型	8000
tuili	推理	7000
paixubiao	排序表	5000
houxuanxiang	候选项	6000
houxuanci	候选词	7000
woxiwang	我希望	15000
woxiwangkeyi	我希望可以	16000
woxiwangkeyiyong	我希望可以用	17000
laiqiehuan	来切换	9000
qiehuan	切换	8000
